Events,CategoryID,Date,Days
Art Exhibit: Community Narrative,Arts,8/26/2018,Sunday
The Residential College at West Ambler Johnston's 7th Annual Aims of Education Address,Academic,8/26/2018,Sunday
Career Outfitters,Special Event,8/27/2018,Monday
Art Exhibit: Community Narrative,Arts,8/27/2018,Monday
"Professional and Scholarship Development Series - Introduction to Scholarships, Fellowships, Grants, and Opportunities for Students",Academic,8/27/2018,Monday
On-Farm Twilight Vegetable Meeting,Seminar/Conference,8/27/2018,Monday
7th International Symposium on Naturalistic Driving Research,Academic,8/28/2018,Tuesday
Blood Drive,Service,8/28/2018,Tuesday
Career Outfitters Day 2,Special Event,8/28/2018,Tuesday
Art Exhibit: Community Narrative,Arts,8/28/2018,Tuesday
Semester Internship designed as a Field Study,Academic,8/28/2018,Tuesday
Orchard Twilight Meeting: West Oaks Farm Market,Research,8/28/2018,Tuesday
Teach for Jamie Interest Meeting,Club,8/28/2018,Tuesday
7th International Symposium on Naturalistic Driving Research,Academic,8/29/2018,Wednesday
Art Exhibit: Community Narrative,Arts,8/29/2018,Wednesday
NC140 Rootstock Research Orchard Meeting at Saunders Brothers,Research,8/29/2018,Wednesday
Hokie Hello Picnic,Special Event,8/29/2018,Wednesday
Fall Entrepreneurship Kickoff,Entrepreneurship,8/29/2018,Wednesday
Conservation Easements 101 Workshop,Seminar/Conference,8/29/2018,Wednesday
7th International Symposium on Naturalistic Driving Research,Academic,8/30/2018,Thursday
Art Exhibit: Community Narrative,Arts,8/30/2018,Thursday
Pumpkin Field Day - Riner,Special Event,8/30/2018,Thursday
University Libraries Graduate Student Orientation,Academic,8/30/2018,Thursday
Payday,Administration,8/31/2018,Friday
Evaluating Professional Development a...,Seminar/Conference,8/31/2018,Friday
Zoom Essentials,Seminar/Conference,8/31/2018,Friday
Art Exhibit: Community Narrative,Arts,8/31/2018,Friday
Gobblerfest,Special Event,8/31/2018,Friday
The Center for Humanities Launch,Special Event,8/31/2018,Friday
Classics Club Meeting,Club,8/31/2018,Friday
2nd Annual Pumpkin Management Field Day,Seminar/Conference,8/31/2018,Friday
"Books, Bugs, and Garden Slugs! Registration Deadline",Special Event,8/31/2018,Friday
Virginia Tech Sheep Center's 19th Annual Production Sale,Service,9/1/2018,Saturday
Art Exhibit: Community Narrative,Arts,9/1/2018,Saturday
Art Exhibit: Community Narrative,Arts,9/2/2018,Sunday
Labor Day,Break/Holiday,9/3/2018,Monday
Labor day (No Classes),Academic,9/3/2018,Monday
Inclusive Pedagogy and Student Identi...,Seminar/Conference,9/3/2018,Monday
Art Exhibit: Community Narrative,Arts,9/3/2018,Monday
Professional and Scholarship Development Series - Application Essays & Reflection,Academic,9/3/2018,Monday
Healthcare Admissions Advantage Registration,Special Event,9/4/2018,Tuesday
"Auditions: ""Angels in America: Part One: Millennium Approaches""",Music/Theatre/Dance,9/4/2018,Tuesday
Tools and Strategies for Interaction ...,Seminar/Conference,9/4/2018,Tuesday
Art Exhibit: Community Narrative,Arts,9/4/2018,Tuesday
Healthcare Admissions Advantage Registration,Special Event,9/5/2018,Wednesday
Pathways Assessment: How to Prepare a...,Seminar/Conference,9/5/2018,Wednesday
Policy brief on refugee integration ,Academic,9/5/2018,Wednesday
Art Exhibit: Community Narrative,Arts,9/5/2018,Wednesday
Using Canvas to Complete Pathways Ass...,Seminar/Conference,9/5/2018,Wednesday
India and Social Justice Wintermester Course Info Meeting,Academic,9/5/2018,Wednesday
Healthcare Admissions Advantage Registration,Special Event,9/6/2018,Thursday
Business Horizons,Special Event,9/6/2018,Thursday
Art Exhibit: Community Narrative,Arts,9/6/2018,Thursday
VT Online Master of Information Technology Info Session,Academic,9/6/2018,Thursday
Creating Content with Screen Recordin...,Seminar/Conference,9/6/2018,Thursday
India and Social Justice Wintermester Course Info Meeting,Academic,9/6/2018,Thursday
Essential Oils Workshop,Special Event,9/6/2018,Thursday
Healthcare Admissions Advantage Registration,Special Event,9/7/2018,Friday
Food Safety Regulations for Virginia Wineries,Seminar/Conference,9/7/2018,Friday
Using Canvas to Complete Pathways Ass...,Seminar/Conference,9/7/2018,Friday
Art Exhibit: Community Narrative,Arts,9/7/2018,Friday
"""Making Space: Race and Southern Cities in the Civil War Era""",Special Event,9/7/2018,Friday
Successful Management of Head Scab in Wheat and Barley Round Table Discussion,Seminar/Conference,9/7/2018,Friday
State of the University address from President Tim Sands,Administration,9/7/2018,Friday
Auditions: Deep Fried Improv Comedy,Music/Theatre/Dance,9/7/2018,Friday
Kaffeeklatsch,Academic,9/7/2018,Friday
Classics Club Meeting,Club,9/7/2018,Friday
Ed Bisese: Working,Arts,9/7/2018,Friday
Rain Barrel Workshop,Service,9/8/2018,Saturday
Family and Farm Day,Special Event,9/8/2018,Saturday
Pregame HokieTalks,Academic,9/8/2018,Saturday
Art Exhibit: Community Narrative,Arts,9/8/2018,Saturday
Art Exhibit: Community Narrative,Arts,9/9/2018,Sunday
Master Gardeners in the Garden: Summer Series,Service,9/9/2018,Sunday
Flute Masterclass with Don Bailey,Music/Theatre/Dance,9/9/2018,Sunday
