Events,CategoryID,Date
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/11/2018
Ellen Cheever in Her Own Words,Academic,11/11/2018
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/11/2018
"Angels in America, Part One: Millennium Approaches, by Tony Kushner",Music/Theatre/Dance,11/11/2018
VT Choirs in Concert,Music/Theatre/Dance,11/11/2018
Veteran's Day,Break/Holiday,12/11/2018
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,12/11/2018
Veterans Day Observances,Corps,12/11/2018
Ellen Cheever in Her Own Words,Academic,12/11/2018
Campus Kitchen Monday Delivery,Service,12/11/2018
"Moss Arts Center Exhibition: ""SWARM""",Arts,12/11/2018
"Moss Arts Center Exhibition: ""Multiply""",Arts,12/11/2018
US Student Fulbright Info Session,Academic,12/11/2018
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,12/11/2018
US Student Fulbright Info Session,Academic,12/11/2018
US Student Fulbright Info Session,Academic,12/11/2018
Strawberry Post Plant Field Walk,Seminar/Conference,12/11/2018
US Student Fulbright Info Session,Academic,12/11/2018
Professional and Scholarship Development Series - The art of interviews and conversation,Academic,12/11/2018
MBA Programs Online Information Session,National Capital Region,12/11/2018
"Future Presence: Where Virtual Reality Came From, How it Works, and Where it's Going",Academic,12/11/2018
"Angels in America, Part One: Millennium Approaches, by Tony Kushner",Music/Theatre/Dance,12/11/2018
"Music on Mondays, featuring Ariana Wyatt, soprano | Elizabeth Crone, flute | Richard Masters, piano",Music/Theatre/Dance,12/11/2018
Veterans Day Remembrance Ceremony,Corps,12/11/2018
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,12/11/2018
Ellen Cheever in Her Own Words,Academic,13/11/2018
Campus Kitchen Tuesday Delivery,Service,13/11/2018
Landowner Breakfast Series: Conservation Opportunities for Your Land,Seminar/Conference,13/11/2018
Strawberry Post Plant Field Walk,Seminar/Conference,13/11/2018
Virginia Vineyard New Grower Workshop,Seminar/Conference,13/11/2018
Ag Breakfast Series,Seminar/Conference,13/11/2018
"Moss Arts Center Exhibition: ""SWARM""",Arts,13/11/2018
"Moss Arts Center Exhibition: ""Multiply""",Arts,13/11/2018
Fall Breeding Beef Cattle Roundup,Seminar/Conference,13/11/2018
Center for Humanities Research Talk: Chicago and the Re-Making of American Real Estate,Academic,13/11/2018
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,13/11/2018
Strawberry Post Plant Field Walk,Seminar/Conference,13/11/2018
PPE Reading Group,Academic,13/11/2018
Police Officers Who Kill Unarmed Black Men Are Seldom Prosecuted or Convicted: Why?,Academic,13/11/2018
Fall Breeding Beef Cattle Roundup,Seminar/Conference,13/11/2018
"Virginia Master Cattlemen's Program - 7 modules, 7 dates",Seminar/Conference,13/11/2018
VT in Riva & Rome Information Session,Academic,13/11/2018
Through Feminist Eyes with Dr. S. Moon Cassinelli,Academic,13/11/2018
Through Feminist Eyes,Diversity,13/11/2018
"Angels in America, Part One: Millennium Approaches, by Tony Kushner",Music/Theatre/Dance,13/11/2018
Jazz Ensembles,Music/Theatre/Dance,13/11/2018
Film Screening of DEMOCRATS,Academic,13/11/2018
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,14/11/2018
Ellen Cheever in Her Own Words,Academic,14/11/2018
Campus Kitchen Wednesday Delivery (1st shift),Service,14/11/2018
Campus Kitchen Thursday Delivery,Service,14/11/2018
Leading Across Generations,Administration,14/11/2018
Campus Kitchen Wedneday Delivery (2nd Shift),Service,14/11/2018
Interested in Leasing or Buying Farmland? What are your options?,VTC,14/11/2018
"Moss Arts Center Exhibition: ""SWARM""",Arts,14/11/2018
"Moss Arts Center Exhibition: ""Multiply""",Arts,14/11/2018
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,14/11/2018
London Calling! Information Session,Special Event,14/11/2018
"Information Session: VT Arabic Oman, Summer 2019",Academic,14/11/2018
CAT 90&91 Private Pesticide Recertification - Shenandoah Valley,Service,14/11/2018
Sigma Delta Pi Free Tutoring,Academic,14/11/2018
Women and Gender Studies Film Series,Movie/Film,14/11/2018
"Theatre Re: ""The Nature of Forgetting""",Arts,14/11/2018
"Angels in America, Part One: Millennium Approaches, by Tony Kushner",Music/Theatre/Dance,14/11/2018
Venuture Builders Workshop: Incorporation and IP Basics ,Entrepreneurship,14/11/2018
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,15/11/2018
Ellen Cheever in Her Own Words,Academic,15/11/2018
Listening Skills,Administration,15/11/2018
"Moss Arts Center Exhibition: ""SWARM""",Arts,15/11/2018
"Moss Arts Center Exhibition: ""Multiply""",Arts,15/11/2018
Spotted Lanternfly Educational Meeting for Christmas Tree Growers and Nursery Professionals,Service,15/11/2018
Staff Senate Meeting,Seminar/Conference,15/11/2018
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,15/11/2018
Rabbits: Pasture Raised Commercial Production,Seminar/Conference,15/11/2018
CAT 90&91 Private Pesticide License Recertification - Culpeper,Service,15/11/2018
Medal of Honor Recipient Master Sgt Leroy Petry Speaks,Corps,15/11/2018
Evening MBA Information Session - Falls Church,National Capital Region,15/11/2018
"Evan Jones, baritone",Music/Theatre/Dance,15/11/2018
Payday,Administration,16/11/2018
Final Exam Reschedule Request Deadline,Academic,16/11/2018
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,16/11/2018
Ellen Cheever in Her Own Words,Academic,16/11/2018
Winter Forage Conference,Seminar/Conference,16/11/2018
"Moss Arts Center Exhibition: ""SWARM""",Arts,16/11/2018
"Moss Arts Center Exhibition: ""Multiply""",Arts,16/11/2018
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,16/11/2018
Campus Kitchen Friday Delivery,Service,16/11/2018
Classics Club Meeting,Club,16/11/2018
Auditions: Miscast Gala! The APO Fall 2018 Cabaret,Music/Theatre/Dance,16/11/2018
"Student Recital: Paul Mack, tenor",Music/Theatre/Dance,16/11/2018
Hokies in the Middle East Alumni Networking Event,Special Event,16/11/2018
Thanksgiving Holiday Begins,Academic,17/11/2018
CALS Alumni and Friends Tailgate,Special Event,17/11/2018
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,17/11/2018
Ellen Cheever in Her Own Words,Academic,17/11/2018
Winter Forage Conference,Seminar/Conference,17/11/2018
Southwest Virginia Maple Syrup School,Seminar/Conference,17/11/2018
Pregame HokieTalks,Academic,17/11/2018
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,17/11/2018
Thanksgiving Holiday,Academic,18/11/2018
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,18/11/2018
Ellen Cheever in Her Own Words,Academic,18/11/2018
Winter Forage Conference,Seminar/Conference,18/11/2018
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,18/11/2018
Thanksgiving Holiday,Academic,19/11/2018
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,19/11/2018
Ellen Cheever in Her Own Words,Academic,19/11/2018
Patch to Pantry ,Seminar/Conference,19/11/2018
CAT 90&91 Private Pesticide Recertification - Shenandoah Valley,Service,19/11/2018
"Moss Arts Center Exhibition: ""SWARM""",Arts,19/11/2018
"Moss Arts Center Exhibition: ""Multiply""",Arts,19/11/2018
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,19/11/2018
Within Reach,VTC,19/11/2018
Thanksgiving Holiday,Academic,20/11/2018
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,20/11/2018
Ellen Cheever in Her Own Words,Academic,20/11/2018
"Moss Arts Center Exhibition: ""SWARM""",Arts,20/11/2018
"Moss Arts Center Exhibition: ""Multiply""",Arts,20/11/2018
