Events,CategoryID,Date,Days
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,10/7/2018,Sunday
Art Exhibit: Community Narrative,Arts,10/7/2018,Sunday
"Wind Ensemble, Symphony Band",Music/Theatre/Dance,10/7/2018,Sunday
Human Flow Documentary,Movie/Film,10/7/2018,Sunday
Columbus Day,Break/Holiday,10/8/2018,Monday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,10/8/2018,Monday
Campus Kitchen Monday Delivery,Service,10/8/2018,Monday
Art Exhibit: Community Narrative,Arts,10/8/2018,Monday
ASPECT Books,Academic,10/8/2018,Monday
Professional and Scholarship Development Series - Crafting Resumes and CVs,Academic,10/8/2018,Monday
Herbs: Preserving the Harvest,Seminar/Conference,10/8/2018,Monday
"Music on Mondays, featuring Idit Shner, saxophone | Eunhye Grace Choi, piano",Music/Theatre/Dance,10/8/2018,Monday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,10/9/2018,Tuesday
Campus Kitchen Tuesday Delivery,Service,10/9/2018,Tuesday
Spectrum Career Fair,Special Event,10/9/2018,Tuesday
"2018 Graduate Philosophy Conference: Philosophy of Race, Gender, and Social Groups",Academic,10/9/2018,Tuesday
Art Exhibit: Community Narrative,Arts,10/9/2018,Tuesday
Incident Command System 100 Training ,Service,10/9/2018,Tuesday
Pylon Dedication Ceremony,Corps,10/9/2018,Tuesday
PPE Reading Group,Academic,10/9/2018,Tuesday
Student Event Series: All about Air Plants,Special Event,10/9/2018,Tuesday
Campus-Community Emergency Response Team Training,Service,10/9/2018,Tuesday
7th Annual Hispanic Film Series,Movie/Film,10/9/2018,Tuesday
Class of 2020 Ring Premiere and Fireworks,Special Event,10/9/2018,Tuesday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,10/10/2018,Wednesday
Campus Kitchen Wednesday Delivery (1st shift),Service,10/10/2018,Wednesday
Healthy Land for Healthy Horses,Seminar/Conference,10/10/2018,Wednesday
Campus Kitchen Wedneday Delivery (2nd Shift),Service,10/10/2018,Wednesday
Careers in Science Job Fair,Special Event,10/10/2018,Wednesday
Art Exhibit: Community Narrative,Arts,10/10/2018,Wednesday
Wednesday Walk or Talk: Effects of Urbanization on Song Sparrows,Special Event,10/10/2018,Wednesday
Intersections: Crossdisciplinary conversations about social injustice and the built environment - privilege,Academic,10/10/2018,Wednesday
Painting for Non-Majors Exhibition,Arts,10/10/2018,Wednesday
Hokies in 757,Special Event,10/10/2018,Wednesday
Venture Builders Workshop: Market Channels,Entrepreneurship,10/10/2018,Wednesday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,10/11/2018,Thursday
Campus Kitchen Thursday Delivery,Service,10/11/2018,Thursday
Fundamentals of Customer Services,Administration,10/11/2018,Thursday
Healthy Land for Healthy Horses,Seminar/Conference,10/11/2018,Thursday
CLAHS Study Abroad Expo,Academic,10/11/2018,Thursday
College of Liberal Arts and Human Sciences Study Abroad Expo,Special Event,10/11/2018,Thursday
Art Exhibit: Community Narrative,Arts,10/11/2018,Thursday
2018 Livestock and Forage Field Day,Special Event,10/11/2018,Thursday
Qualtrics Basics - Understanding Surve...,Seminar/Conference,10/11/2018,Thursday
#VTDITC vol 11: 2nd Annual Beat Battle & Music Production Workshop,Music/Theatre/Dance,10/11/2018,Thursday
Badstar: A concert of immersive audio + video,Music/Theatre/Dance,10/11/2018,Thursday
Fall Family Weekend,Special Event,10/12/2018,Friday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,10/12/2018,Friday
Fall Forestry and Wildlife Field Tours,Special Event,10/12/2018,Friday
"Employee Retirement Planning Session: VRS, ORP and other Retirement Benefits  ",Administration,10/12/2018,Friday
Art Exhibit: Community Narrative,Arts,10/12/2018,Friday
Pulaski Grow service trip,Service,10/12/2018,Friday
Feeding America service trip,Service,10/12/2018,Friday
Minors Information Session,Academic,10/12/2018,Friday
Campus Kitchen Friday Delivery,Service,10/12/2018,Friday
Classics Club Meeting,Club,10/12/2018,Friday
"Philosophy Colloquium: Deborah Mayo, Virginia Tech ",Academic,10/12/2018,Friday
International Cafe Hour - the continent of Africa,Special Event,10/12/2018,Friday
"Ambient Orchestra: David Bowie's ""Blackstar""",Arts,10/12/2018,Friday
Badstar: A concert of immersive audio + video,Music/Theatre/Dance,10/12/2018,Friday
Fall Family Weekend,Special Event,10/13/2018,Saturday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,10/13/2018,Saturday
Apple Ridge Farm service trip,Service,10/13/2018,Saturday
Feeding America service trip,Service,10/13/2018,Saturday
Rain Barrel Workshop,Service,10/13/2018,Saturday
Agricultural Technology Program Open House,Special Event,10/13/2018,Saturday
Art Exhibit: Community Narrative,Arts,10/13/2018,Saturday
Badstar: A concert of immersive audio + video,Music/Theatre/Dance,10/13/2018,Saturday
