Events,CategoryID,Date,Days
Fall break ends,Academic,10/21/2018,Sunday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,10/21/2018,Sunday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,10/22/2018,Monday
Campus Kitchen Monday Delivery,Service,10/22/2018,Monday
Patch to Pantry (2 parts - Nov. 19),Seminar/Conference,10/22/2018,Monday
Donuts with The Department of Religion & Culture,Special Event,10/22/2018,Monday
Seminar: The muscle mitochondrial reticulum,Seminar/Conference,10/22/2018,Monday
Minors Information Session,Academic,10/22/2018,Monday
Open Access Forum,Academic,10/22/2018,Monday
A Conversation about Insect Pests and Your Home,Seminar/Conference,10/22/2018,Monday
"Music on Mondays, featuring Kathryn James Adduci, baroque trumpet | Sarah Rushing, piano",Music/Theatre/Dance,10/22/2018,Monday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,10/23/2018,Tuesday
Campus Kitchen Tuesday Delivery,Service,10/23/2018,Tuesday
Time Management,Administration,10/23/2018,Tuesday
Turfgrass Tuesday,Seminar/Conference,10/23/2018,Tuesday
"Employee Retirement Planning Session: VRS, ORP and other Retirement Benefits  ",Administration,10/23/2018,Tuesday
MBA Programs Online Information Session,National Capital Region,10/23/2018,Tuesday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,10/23/2018,Tuesday
PPE Reading Group,Academic,10/23/2018,Tuesday
Ricardo Cate': Standing Rock,Special Event,10/23/2018,Tuesday
Campus-Community Emergency Response Team Training,Service,10/23/2018,Tuesday
A CALSUnited Conversation: DiversityEDU and your Virginia Tech experience,Special Event,10/23/2018,Tuesday
"Virginia Master Cattlemen's Program: 7 modules, 7 dates",Seminar/Conference,10/23/2018,Tuesday
Food Hydration 101,Seminar/Conference,10/23/2018,Tuesday
Spring 2019 Web Course Request Closes,Academic,10/24/2018,Wednesday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,10/24/2018,Wednesday
